DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/10/2018,9:50,QUEENS,11361,40.753864,-73.780975,"(40.753864, -73.780975)",,,46-40     FRANCIS LEWIS BOULEVARD       ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860029,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/10/2018,9:40,,,40.676388,-73.94095,"(40.676388, -73.94095)",,,REVERE PLACE                            ,0,0,0,0,0,0,0,0,Unspecified,,,,,3861213,PASSENGER VEHICLE,,,,
03/10/2018,9:40,QUEENS,11364,40.755398,-73.75439,"(40.755398, -73.75439)",CLOVERDALE BOULEVARD            ,53 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860028,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,9:34,QUEENS,11434,40.681744,-73.77204,"(40.681744, -73.77204)",,,172-15    BAISLEY BOULEVARD             ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3860054,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/10/2018,9:32,MANHATTAN,10065,40.76531,-73.96385,"(40.76531, -73.96385)",EAST 65 STREET                  ,3 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3860420,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,9:30,,,40.657555,-73.894196,"(40.657555, -73.894196)",LINDEN BOULEVARD                ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3861584,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,9:30,,,40.577946,-74.102325,"(40.577946, -74.102325)",HYLAN BOULEVARD                 ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3860065,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,9:30,,,40.854687,-73.890396,"(40.854687, -73.890396)",EAST 184 STREET                 ,3 AVENUE,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Driver Inattention/Distraction,,,,3860928,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
03/10/2018,9:30,MANHATTAN,10065,40.764362,-73.96162,"(40.764362, -73.96162)",2 AVENUE                        ,EAST 65 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3860413,SPORT UTILITY / STATION WAGON,DS,,,
03/10/2018,9:15,QUEENS,11106,40.755085,-73.92656,"(40.755085, -73.92656)",36 AVENUE                       ,35 STREET,,1,0,0,0,0,0,1,0,Glare,Oversized Vehicle,Unspecified,,,3860085,SPORT UTILITY / STATION WAGON,DS,SPORT UTILITY / STATION WAGON,,
